Movie,Theater,Location
Idiot,Name Telidu Theater,Warangal
Jayam,Name Telidu Theater,Warangal
Student No.1,Name Telidu Theater,Warangal
Thottigang,Name Telidu Theater,Warangal
Laxmi Narasimha,Old Theater,Therlam
Ghajini,Old Theater,Therlam
Satyam,Old Theater,Therlam
Shankar Dada MBBS (Hari Chinnana tho chusa),Apsara,Rajam
Bunny,Apsara,Rajam
Pokiri,Apsara,Rajam
Annavaram,Apsara,Rajam
Laxmi Kalyanam (Surya Mavayya tho chusa),Name Telidu Theater,Rajam
Yevadaithe Nakentra,Omkar Theater,Bobbili
Laxmi,Omkar Theater,Bobbili
Aadhivaram Aadavallaku Selavu,Omkar Theater,Bobbili
Muni,Omkar Theater,Bobbili
Mirchi,Venkat Krishna Theater,Bobbili
Narnia,Venkat Krishna Theater,Bobbili
Dhookudu,Venkat Krishna Theater,Bobbili
Varudu,Venkat Krishna Theater,Bobbili
Racha,Venkat Krishna Theater,Bobbili
Rama Rama Krishna Krishna,Venkat Krishna Theater,Bobbili
Narnia,Venkat Krishna Theater,Bobbili
Desamudhuru (Nagu Chinnanna tho chusa),Sri Krishna Theater,Bobbili
Aparichithudu,Sri Krishna Theater,Bobbili
100% Love (Prasanna Vadina tho chusa),Sri Krishna Theater,Bobbili
Yevadu,Sri Krishna Theater,Bobbili
Kaanchana,Sri Krishna Theater,Bobbili
Munna,Sri Krishna Theater,Bobbili
Midatha,Venketeswara Theater,Bobbili
Batman,Laxmi Theater,Bobbili
Aadavari Maatalaku Ardaleverule,Laxmi Theater,Bobbili
Mr Perfect (Naveen Annaiah tho kalisi chusa),Sai Ganapathi Theater,Bobbili
Sivaji,Sai Ganapathi Theater,Bobbili
Nayak,Sai Ganapathi Theater,Bobbili
Jalsa,Sai Ganapathi Theater,Bobbili
Badshah,Sai Ganapathi Theater,Bobbili
Kotha Bangaru Lokam,Sai Ganapathi Theater,Bobbili
Premakavali,Sai Ganapathi Theater,Bobbili
Damarukam,Sai Ganapathi Theater,Bobbili
Bodyguard,Sai Ganapathi Theater,Bobbili
Gundejaari Gallanthayyinde,Sai Ganapathi Theater,Bobbili
Brothers,Sai Ganapathi Theater,Bobbili
Ghajini,Vasavi Theater,Bobbili
Andharivadu (Pedananna,Vasavi Theater,Bobbili
Robo,Vasavi Theater,Bobbili
Magadheera,Vasavi Theater,Bobbili
Tulasi,Vasavi Theater,Bobbili
Badrinath,Vasavi Theater,Bobbili
Oceans (Dhamu Sir tho Vella Bobbili,Vasavi Theater,Bobbili
Disney's Dinosaur,Vasavi Theater,Bobbili
Pournami,Vasavi Theater,Bobbili
Avatar,Vasavi Theater,Bobbili
Soukhyam (Koundinya tho chusa),Kinnera-Kameswari Theater,Visakhaptnam
Legend (Ramana Mavayya tho chusa),Kinnera-Kameswari Theater,Visakhaptnam
Power,Kinnera-Kameswari Theater,Visakhaptnam
Pelli Choopulu (Tanweer tho chusa),Kinnera-Kameswari Theater,Visakhaptnam
Baahubali,Kinnera-Kameswari Theater,Visakhaptnam
Bheemavaram Bullodu,Kinnera-Kameswari Theater,Visakhaptnam
Mr Pellikoduku,Kinnera-Kameswari Theater,Visakhaptnam
Inkokkadu,Kinnera-Kameswari Theater,Visakhaptnam
Agnyathavasi,Sangam-Sarath,Visakhaptnam
Anaganaga o Dheerudu,Sangam-Sarath,Visakhaptnam
Jyo Achyutananda,Sangam-Sarath,Visakhaptnam
24,Inox Central,Visakhaptnam
Masala,Inox Central,Visakhaptnam
Akhil,Inox Central,Visakhaptnam
Appatlo Okadundevadu,Inox Central,Visakhaptnam
Bengal Tiger,Inox Central,Visakhaptnam
Courier Boy Kalyan,Inox Central,Visakhaptnam
Sultan,Inox Central,Visakhaptnam
Tholiprema,Inox Central,Visakhaptnam
Brucelee,Inox Central,Visakhaptnam
Janatha Garrage,Inox Central,Visakhaptnam
Supreme,Inox Central,Visakhaptnam
Dhruva,Inox Central,Visakhaptnam
Singam 3,Inox Central,Visakhaptnam
Mass,Inox Central,Visakhaptnam
Rangasthalam,Inox Central,Visakhaptnam
Abhimanyudu,Inox Central,Visakhaptnam
Kalki,Inox Central,Visakhaptnam
PSV Garuda Vega,Inox Central,Visakhaptnam
I,Inox Central,Visakhaptnam
Robo 2.0,Inox Central,Visakhaptnam
IT,Varun Inox,Visakhaptnam
Conjuring 2,Varun Inox,Visakhaptnam
Befikre,Varun Inox,Visakhaptnam
Dangal,Varun Inox,Visakhaptnam
Spyder,Varun Inox,Visakhaptnam
Middle Class Abbayi,Varun Inox,Visakhaptnam
Geetha Govindam,Pendurthi Theater,Visakhaptnam
Taxiwala,NAD Theater,Visakhaptnam
Krish 3,Jagadamba Theater,Visakhaptnam
Kumari 21f,Jagadamba Theater,Visakhaptnam
Tholiprema,Jagadamba Theater,Visakhaptnam
Gruham,Chitralaya Theater,Visakhaptnam
Heart Attack,V-Max,Visakhaptnam
Sachin a billion dreams,V-Max,Hyderabad
Jersey,V-Max,Hyderabad
Godzilla vs Kong,V-Max,Hyderabad
Vakeel Saab,V-Max,Hyderabad
Zombie Reddy,V-Max,Hyderabad
Ala Vaikunta Puram,V-Max,Hyderabad
Aswathama,V-Max,Hyderabad
Shyam Singha Roy,V-Max,Hyderabad
Pushpa,V-Max,Hyderabad
